place_id,name,rating,latitude,longitude,vicinity
ChIJH1kWxI003YARyB2UQIZsqaE,El Tenampa,4.1,33.835153,-118.2243856,"21312 Alameda St, Long Beach"
ChIJjw32JVAx3YARy5vnIoBfAnA,Cafecito Salv,4.1,33.7824787,-118.1963681,"412 W Anaheim St, Long Beach"
ChIJ83P3910x3YARjWsEqlSoH7w,La Guanaquita,4.2,33.7899882,-118.1826786,"801 CA-1, Long Beach"
ChIJX8gQQ_Az3YARaJHXVfsh0hM,Sirenita's Restaurant,4.0,33.8041377,-118.1962345,"410 W Willow St, Long Beach"
ChIJoSK2Bfgx3YARE4Ui4kvjlUo,La Esperanza Restaurant & Bakery,4.2,33.7876296,-118.1761985,"1626 Orange Ave, Long Beach"
ChIJ89V6TUAz3YARkddfrkgn8QE,ChilTepe,4.3,33.8587024,-118.1851358,"5631 Atlantic Ave, Long Beach"
ChIJJZPjYcY13YARR0TcnrNsuWk,Variedad De Pupusas Restaurante Estela,3.9,33.791226,-118.2671187,"401 W Pacific Coast Hwy, Wilmington"
ChIJS9P4Fb8z3YARCVU4VTVfKmU,Roxanne's,4.3,33.8191142,-118.1780234,"1115 E Wardlow Rd, Long Beach"
ChIJLa5y_9g33YARypaNPW_Q1nM,SAN ANTONIO RESTAURANT,4.0,33.7448573,-118.2876625,"234 N Pacific Ave, San Pedro"
ChIJC4xkZfM13YAR9k4pLrhS3f0,La Casita Torrance,4.4,33.8321978,-118.2977793,"1225 W Carson St, Torrance"
ChIJG5Yfc24x3YAR1NLBvk1k8HQ,Marilus bakery #2 / Panaderia marilus # 2,4.4,33.7822957,-118.1608184,"2608 E Anaheim St, Long Beach"
ChIJNeivRs813YARpVCgvZEQFG4,El Metapaneco,3.8,33.7905006,-118.2627516,"1352 N Avalon Blvd, Wilmington"
ChIJ9VTiHecz3YARAJgzz0BYwew,La Santaneca,3.8,33.8018712,-118.1851872,"2461 Atlantic Ave, Long Beach"
ChIJ9_vY-xIx3YARNiezvuQHjKE,La Ceiba Restaurant,4.0,33.7819306,-118.1875875,"400 E Anaheim St Ste A, Long Beach"
ChIJwZ3tziU23YAR8qvnTbdG3qU,La Cocina De Paquita,4.0,33.7398876,-118.2926361,"441 S Gaffey St, San Pedro"
ChIJL7R5lGcz3YARa31jIO7m0Dw,La Guanaquita #2,3.9,33.8531973,-118.1960381,"5344 Long Beach Blvd B, Long Beach"
ChIJCVqZE2w13YARr9E9cotHX6E,El Kiosco Pupuseria,4.4,33.7880329,-118.2632713,"1245 N Avalon Blvd, Wilmington"
ChIJ3X9RWHQx3YARy3TZgcI7Gm0,Mi Tierra K-Tracha,4.1,33.7827291,-118.1628899,"2417 E Anaheim St, Long Beach"
ChIJ7xJLqEI13YARTd2ws7O7QyE,Pupuseria La Quebrada,4.3,33.7907114,-118.2972974,"1111 Pacific Coast Hwy ste 1, Harbor City"
ChIJ8S0pi3A13YARXSJvuYq9-6s,Pupuseria Salvadoreña,4.2,33.8187551,-118.2863173,"22827 S Figueroa St, Carson"
ChIJNVyCdmsz3YARlXs7NtUe24Q,Pupuseria Brisas De Acajutla,4.4,33.852629,-118.1851581,"5303 Atlantic Ave, Long Beach"
ChIJge7GNF7HwoARcXHBTMIOQOE,La Original Panaderia El Salvador,4.4,34.0765044,-118.2964371,"4015 Beverly Blvd, Los Angeles"
ChIJ-_j3Mp_HwoARDCzZ0hfqvaU,Flor Blanca Restaurant,4.0,34.0539623,-118.2778636,"806 S Alvarado St, Los Angeles"
ChIJae8Ds2uUwoARue6IQ7jIn8s,Rancheros Tacos Pupuseria,4.2,34.2243184,-118.3661118,"8447 Sunland Blvd #3437, Sun Valley"
ChIJbVe0-9rAwoARctOgw2C9nEQ,El Buen Gusto Restaurant,4.1,34.116674,-118.2619305,"3140 Glendale Blvd, Los Angeles"
ChIJ1doONJzHwoAReqfZG_rGUUE,El Savoy Restaurant,4.4,34.0553472,-118.2828383,"2439 James M Wood Blvd, Los Angeles"
ChIJo0u95RLHwoARwVcKnSOCdEQ,Pupuseria y Panederia Atecosol,4.3,34.0726106,-118.2740876,"2523 W Temple St, Los Angeles"
