place_id,name,rating,latitude,longitude,vicinity
ChIJ_7Dl8AfHwoAR8NI0jXox9DQ,Pupusería Menchita,4.1,34.0632546,-118.2633829,"1606 Beverly Blvd, Los Angeles"
ChIJfWE6WjjIwoARrunZR4vkuuU,Kasandra’s Pupusería,4.2,33.9898756,-118.2779805,"5736 S Broadway, Los Angeles"
ChIJDwv1yRfPwoARVNSbFcd6AfU,Mar y Tierra Pupuseria y Restaurant,4.2,34.0165835,-118.1374178,"6201 Whittier Blvd, East Los Angeles"
ChIJh7bWPA24woARer0ph-a9X5Q,El Palmar #2 Restaurant & Pupuseria,3.8,34.0300928,-118.3093469,"2781 S Western Ave, Los Angeles"
ChIJVXBUt5DHwoAROBgZ52bq0O4,Pupuseria Don Carlos Village,3.6,34.0469431,-118.2826317,"2046 W Pico Blvd, Los Angeles"
ChIJ5-fyncu5woARGRhmFzD3aDk,Pupusas La Bendición,5.0,34.0418339,-118.3098781,"2345 a W 18th St, Los Angeles"
ChIJfUtq1j-4woARDLyvWwenGIw,Restaurante Y Pupuseria El Maná,4.2,34.0258433,-118.3228783,"2511 W Jefferson Blvd, Los Angeles"
ChIJk0XOTA64woARn1pp3xosJmE,Clemen's,4.4,34.0236457,-118.3090629,"3551 S Western Ave, Los Angeles"
ChIJ6aUbiHy4woAR_YeYi0KY8ak,San Vicente Restaurant Pupusas,4.4,34.0474074,-118.3082345,"3071 W Pico Blvd, Los Angeles"
ChIJ3zM_oDPJwoAR-Ohcar--c8Q,Puerto de la Libertad,4.1,33.9805556,-118.2088889,"3249 E Gage Ave, Huntington Park"
ChIJFT-ukJ7PwoARtwxLJ9WrXgQ,Los Molcajetes,4.1,34.03289,-118.1553072,"5116 E Beverly Blvd, Los Angeles"
ChIJHUtvd2THwoAR1KyZmdNjz4o,El Palmar Pupusas,3.5,34.06929530000001,-118.293289,"3555 W 3rd St, Los Angeles"
ChIJDYTCYZ_HwoARugaya6rMDSQ,El Guanaco Restaurant,3.8,34.0563546,-118.2760169,"2015 7th St, Los Angeles"
ChIJ0bR0sabHwoARbYhxwhP_2rM,Golfo De Fonseca,4.0,34.0570802,-118.2698538,"1618 W 6th St, Los Angeles"
ChIJEd-rb1rHwoARBylFMQ9LM-U,Golfo De Fonseca Restaurant,4.0,34.0858949,-118.291565,"808 N Vermont Ave, Los Angeles"
ChIJ81HgLFq5woAR97elnSGL-6w,Rhina’s pupusas,4.7,34.0403247,-118.3175932,"1842B Arlington Ave, Los Angeles"
ChIJs_8zv6jHwoAR5nsXZcd0RC0,Taqueria y Restaurant Los Amigos,4.8,34.0589699,-118.2629509,"1445 W 3rd St, Los Angeles"
ChIJ4YG1puW3woAR3aWxEOqv82c,Sonsonate Grill,4.0,33.9975755,-118.3090865,"5011 S Western Ave, Los Angeles"
ChIJY-WDy1PJwoARX9OxU8dhUPE,Lucas Pupuseria( La casa de las pupusas),5.0,33.9822958,-118.268187,"340 E Gage Ave, Los Angeles"
ChIJkSqHZhPIwoARfer_rfA5NF8,Flor Blanca Restaurante,3.6,34.0034615,-118.2778361,"4400 S Broadway Librarian, Los Angeles"
ChIJfa2dSKjJwoARMsKPsy8_vic,Las Palmas Pupuseria,4.0,33.9749694,-118.2543439,"1165 E Florence Ave, Los Angeles"
ChIJ4dW1aaLHwoARoc6reGUFZ8M,Los Molcajetes,4.3,34.0533359,-118.2747196,"1800 W 8th St, Los Angeles"
ChIJFVRMxgfJwoARHKJ2NGQNgK0,Mi Pueblo Salvadorian Restaurant #1,4.4,33.9749886,-118.2506431,"1341 E Florence Ave, Los Angeles"
ChIJYTu7-XDIwoARNps9PqYFGvg,Tres Amigos # 2 Restaurant & Pupusería,4.1,34.0136903,-118.2665992,"3603 San Pedro St, Los Angeles"
